fecha,producto,categoria,region,unidades,precio_unitario
2024-01-03,Taza cerámica,Hogar,Norte,2,6.75
2024-01-03,Sudadera capucha,Ropa,Norte,4,26.91
2024-01-04,Taza cerámica,Hogar,Centro,1,7.50
2024-01-05,Taza cerámica,Hogar,Norte,4,7.50
2024-01-05,Gorra logo,Accesorios,Sur,4,9.90
2024-01-05,Taza cerámica,Hogar,Oeste,3,6.75
2024-01-06,Libreta A5,Papelería,Oeste,3,5.90
2024-01-07,Sudadera capucha,Ropa,Centro,3,29.90
2024-01-08,Taza cerámica,Hogar,Sur,1,6.75
2024-01-08,Botella térmica,Accesorios,Norte,1,18.90
2024-01-09,Botella térmica,Accesorios,Este,4,18.90
2024-01-09,Gorra logo,Accesorios,Este,3,9.90
2024-01-09,Sudadera capucha,Ropa,Sur,2,29.90
2024-01-10,Pack pegatinas,Papelería,Centro,4,3.50
2024-01-11,Libreta A5,Papelería,Norte,1,5.90
2024-01-12,Bolsa tela,Accesorios,Centro,3,6.21
2024-01-12,Libreta A5,Papelería,Oeste,2,5.90
2024-01-13,Botella térmica,Accesorios,Centro,2,18.90
2024-01-13,Botella térmica,Accesorios,Oeste,4,18.90
2024-01-13,Libreta A5,Papelería,Sur,2,5.90
2024-01-14,Camiseta básica,Ropa,Sur,1,12.90
2024-01-14,Bolsa tela,Accesorios,Centro,1,6.90
2024-01-14,Pack pegatinas,Papelería,Norte,3,3.50
2024-01-16,Libreta A5,Papelería,Sur,1,5.90
2024-01-16,Pack pegatinas,Papelería,Este,1,3.50
2024-01-17,Sudadera capucha,Ropa,Centro,3,29.90
2024-01-18,Gorra logo,Accesorios,Centro,3,9.90
2024-01-20,Camiseta básica,Ropa,Este,1,12.90
2024-01-20,Taza cerámica,Hogar,Centro,1,7.50
2024-01-20,Sudadera capucha,Ropa,Norte,1,29.90
2024-01-21,Pack pegatinas,Papelería,Centro,2,3.50
2024-01-22,Taza cerámica,Hogar,Oeste,2,7.50
2024-01-22,Libreta A5,Papelería,Oeste,4,5.90
2024-01-22,Sudadera capucha,Ropa,Este,2,29.90
2024-01-24,Taza cerámica,Hogar,Norte,1,6.75
2024-01-25,Sudadera capucha,Ropa,Norte,1,29.90
2024-01-26,Botella térmica,Accesorios,Sur,4,18.90
2024-01-27,Pack pegatinas,Papelería,Norte,4,3.50
2024-01-27,Bolsa tela,Accesorios,Oeste,3,6.90
2024-01-27,Camiseta básica,Ropa,Este,1,11.61
2024-01-29,Taza cerámica,Hogar,Sur,4,6.75
2024-01-30,Pack pegatinas,Papelería,Norte,2,3.50
2024-01-30,Pack pegatinas,Papelería,Centro,1,3.15
2024-02-02,Gorra logo,Accesorios,Sur,4,9.90
2024-02-03,Gorra logo,Accesorios,Oeste,4,8.91
2024-02-03,Botella térmica,Accesorios,Centro,4,18.90
2024-02-03,Pack pegatinas,Papelería,Sur,2,3.50
2024-02-04,Camiseta básica,Ropa,Centro,3,11.61
2024-02-04,Pack pegatinas,Papelería,Centro,2,3.15
2024-02-06,Sudadera capucha,Ropa,Sur,1,29.90
2024-02-07,Sudadera capucha,Ropa,Norte,2,29.90
2024-02-07,Sudadera capucha,Ropa,Centro,4,29.90
2024-02-07,Libreta A5,Papelería,Este,3,5.90
2024-02-08,Botella térmica,Accesorios,Este,4,17.01
2024-02-09,Libreta A5,Papelería,Centro,1,5.31
2024-02-09,Sudadera capucha,Ropa,Centro,1,29.90
2024-02-09,Botella térmica,Accesorios,Norte,2,18.90
2024-02-10,Botella térmica,Accesorios,Centro,2,18.90
2024-02-10,Botella térmica,Accesorios,Centro,1,18.90
